Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
10.433000000000005, -0.5748047, -4.176914, -8.238868
10.530000000000005, -0.9580079, -3.027305, -8.660391
10.627000000000004, -1.1112891, -3.6404297, -8.928633
10.774000000000004, -1.0729688, -4.368516, -8.890313
10.872000000000005, -0.8047266, -3.3338673, -9.005274
10.969000000000005, -0.42152345, -3.3338673, -9.235196
11.066000000000004, -0.728086, -2.9506643, -9.005274
11.164000000000005, -0.5364844, -3.180586, -9.196876
11.261000000000005, -0.38320315, -3.295547, -9.1202345
11.359000000000005, -0.5748047, -3.180586, -9.081915
11.457000000000006, -0.3065625, -2.9889846, -9.273516
11.554000000000006, -0.45984375, -2.8357031, -9.158555
11.651000000000005, -0.5748047, -3.410508, -9.235196
11.749000000000006, -0.34488282, -3.2572267, -9.1202345
11.846000000000005, -0.34488282, -3.3338673, -9.465117
11.944000000000006, -0.19160157, -3.3338673, -9.235196
12.041000000000006, -0.22992188, -2.9889846, -9.043594
12.139000000000006, -0.3065625, -3.3338673, -9.081915
12.236000000000006, -0.3065625, -3.2572267, -9.235196
12.334000000000007, -0.15328126, -3.2572267, -8.928633
12.481000000000007, -0.15328126, -3.410508, -9.196876
12.577000000000007, -0.34488282, -3.410508, -9.1202345
12.675000000000008, -0.2682422, -3.2572267, -9.005274
